_______________________________________________________________________________________________________________________________________________________________________________
|STEP    | STATE | NEXT STATES                   | OPEN                  | CLOSED                                                                                             |
|________|_______|_______________________________|_______________________|____________________________________________________________________________________________________|
| 0      |       |                               | [(0,0)]               | []                                                                                                 |
| 1      | (0,0) | [(4,0), (0,3)]                | [(4,0), (0,3)]        | [(0,0)]                                                                                            |
| 2      | (4,0) | [(4,3), (0,0), (1,3)]         | [(0,3), (4,3), (1,3)] | [(0,0), (4,0)]                                                                                     |
| 3      | (0,3) | [(4,3), (0,0), (3,0)]         | [(4,3), (1,3), (3,0)] | [(0,0), (4,0), (0,3)]                                                                              |
| 4      | (4,3) | [(0,3), (4,0)]                | [(1,3), (3,0)]        | [(0,0), (4,0), (0,3), (4,3)]                                                                       |
| 5      | (1,3) | [(4,3), (0,3), (1,0), (4,0)]  | [(3,0), (1,0)]        | [(0,0), (4,0), (0,3), (4,3), (1,3)]                                                                |
| 6      | (3,0) | [(4,0), (3,3), (0,0), (0,3)]  | [(1,0), (3,3)]        | [(0,0), (4,0), (0,3), (4,3), (1,3), (3,0)]                                                         |
| 7      | (1,0) | [(4,0), (1,3), (0,0), (0,1)]  | [(3,3), (0,1)]        | [(0,0), (4,0), (0,3), (4,3), (1,3), (3,0), (1,0)]                                                  |
| 8      | (3,3) | [(4,3), (0,3), (3,0), (4,2)]  | [(0,1), (4,2)]        | [(0,0), (4,0), (0,3), (4,3), (1,3), (3,0), (1,0), (3,3)]                                           |
| 9      | (0,1) | [(4,1), (0,3), (0,0), (1,0)]  | [(4,2), (4,1)]        | [(0,0), (4,0), (0,3), (4,3), (1,3), (3,0), (1,0), (3,3), (0,1)]                                    |
| 10     | (4,2) |                               |                       |                                                                                                    |  
|________|_______|_______________________________|_______________________|____________________________________________________________________________________________________|
GoalState path: (0,0)-->(0,3)-->(3,0)-->(3,3)-->(4,2)
